1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02512868292347919,0.0625231004099191,0.060844927771594406,0.037081640738086154,0.06550153699901913,0.05671476183823493,0.049574252422595264,0.06148961652879431,0.04008464721657324,0.07009582177111517,0.09523046332500937,0.11972119553490118,0.11222583104220915,0.12155975867861443,0.10722385158027702,0.0966360808981754,0.14192382266759926,0.14876843441290166,0.12660256276355633,0.13411957015254022,0.13527472091246698,0.11247357310040658,0.11350900707672183,0.1197583821567046,0.1082615903942186,0.10208800923597092,0.08839729572025554,0.10342489364955874,0.08894172544868767,0.10785373147223129,0.1056500663737374,0.08694415557246474,0.09296331542211413,0.08379873909988488,0.08429303379886563,0.09598705105214614,0.08156392117440377,0.0703999901908659,0.06783888924557974,0.06324650174856522,0.05627347681500523,0.07060605074703764,0.08348244670737147,0.06140828800100661,0.06981287752947168,0.09103277052077216,0.11509159955997986,0.10531337852167845,0.07461980514768038
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01178592556708344,0.18911991918181964,0.15799283897436242
0.0,0.00015080720503917713,0.002250662121366636,0.0013106526049710522,0.0004307181628166924,0.0010563555661112893,0.0,0.00019547463171545564,0.001332571297818476,0.0026870856363054047,0.1309603882940386,0.18261240113011978,0.21683522211411765,0.21772557842764098,0.19290644138892485,0.22167212824830332,0.23888291887135385,0.30422622665746346,0.483115892785297,0.5320083048551522,0.6356175114842101,0.7013054426146683,0.7252199359737946,0.7302898963114483,0.6932231260642164,0.6875644788372792,0.6667031897838879,0.6774024789092732,0.6642606949901567,0.6118919631914004,0.6153069467811904,0.6070475590477475,0.6572924464393909,0.6277651579707724,0.6713360976059544,0.6478388394153487,0.6290079302910706,0.6456939097517119,0.6220238742558974,0.6187649064569718,0.6294653793776347,0.6151737060166097,0.6316824659929473,0.58741784493917,0.6596641081565479,0.6269473633175547,0.6759323343633634,0.5883137332680191,0.6075248661032201,0.517813206093627,0.3970384004938637,0.6134332911147053,0.5897170451401411,0.4003953047812894,0.5894080047436997,0.5185695010935764,0.6815627747392404,0.6424980788388485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012838962454020286,0.02464909074478306,0.0009952651633265146,0.0065435987994621435,0.0039664309665194885,0.011609580090838394,0.014284877599324473,0.008919986684227658,0.010730151904537731,0.002576954141829668,0.00030574977261508423,0.01316922604125573,0.01198312164494859,0.014717267925272148,0.014646912272933164,0.017639353210784168,0.02565381777011363,0.06214114317377369,0.058873341095246244,0.05578335440612782,0.0462395036138661,0.03825111023616419,0.051953333390898304,0.04382642869215518,0.04752457357659329,0.04439474933217343,0.04559807913441833,0.04751327356801651,0.04727854939239511,0.044473110006788025,0.04314438054527119,0.04189460594094369,0.046222550018656494,0.04544968834620249,0.045092145415166096,0.045652559718781786,0.04139974621467087,0.0411815961745894,0.039085966630858365
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03866174337093397,0.09626373431560285,0.17754204848306807,0.198698830870007,0.1927453817416283,0.19418468146782042,0.18348653137501092,0.27546990556520834,0.31687358864756104,0.36077921101563204,0.3751670814435493,0.3897842710694318,0.35124538567467345,0.3591161160755858,0.4523539341186088,0.41464549102141757,0.451034393190973,0.5010843785644985,0.46662661483712575,0.5291608386228658,0.6036248111735454,0.6321008992483932,0.6647843331672979,0.6901424655665969,0.6832127497547422,0.72768728695915,0.83576473354499,0.8697181035227484,0.9273337354866099,0.7664630865332285,0.7713332771226389,0.789711941445462,0.8096039848290323,0.6290896963909562,0.6845022902311302,0.7544461598033768,0.7208534297735625,0.7259282893097612,0.738795998470622,0.7153158310528701,0.7500342255487987,0.6846613439282538,0.7402493112277422,0.7125259855839344,0.7369273943743334,0.78257801848724,0.8509699804469855,0.7431890129931584,0.7096976689707503
0.0009215022690907662,0.0011631122192502772,0.0009894641237939072,0.0055785456504146205,0.0030309144456481356,0.005549718215095454,0.02214155676880733,0.034764005861430004,0.06771900447262895,0.06325215112329252,0.0549163114112796,0.07265782512852043,0.10389098162623862,0.12074066797269441,0.132587530089053,0.14025183902975752,0.14862914227739932,0.14662507327993507,0.186939606803196,0.18874523379570232,0.21181369820188445,0.24703250051267053,0.2594729147749925,0.2675851592350718,0.2536197501347774,0.24084436220316136,0.27919150536098647,0.2579922431411297,0.29334596072033386,0.32438399599765066,0.2873076834327188,0.2651731486629094,0.2347435679084067,0.2063038037166209,0.2055248336182663,0.19820120931137827,0.21321393977631786,0.203065322638702,0.20040731131044012,0.2382066995110281,0.24095366910290428,0.2579107589635765,0.23706772260055656,0.24643590198629484,0.24064629917931435,0.23991598885774734,0.23867116349224052,0.24118349841016273,0.25686196557586377,0.2658215424961741,0.2506303849304477,0.25313658179575055,0.24902125232288924,0.24541054253551434,0.248028059087804,0.2560923863367485,0.23931374333152786,0.22054685971671395
0.0,0.0,0.0,0.0,0.009803185029697934,0.00824663943742344,0.007413937467558169,0.0121279023901884,0.006987879227958437,0.0037078201595864167,0.0032350444066215427,0.0021949694767361807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001695984441577039,0.014684322631774233,0.012395849902159452,0.013145144585125558,0.013129792157769295,0.012817521855561858,0.013129203348436662,0.014183556596786138,0.014011155997187805,0.01850227704212432,0.027399119914273764,0.02726707567929211,0.02524734059646171,0.023794743685778393,0.024803094001046085,0.026286174437871956,0.02579279074541929,0.02572380388593462,0.02782694327533148,0.030136620332628823,0.03293717327758078,0.03835860788466609,0.04877725155000478,0.06042767884908778,0.0676949549571616,0.07679105762381974,0.08672687369286021,0.08821160874326205,0.09288157713610781,0.09436281311260153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032788095905216933,0.019657240029698552,0.0379566542708731,0.09629579198183286,0.16381043257150535,0.18009077044285995,0.1952515555270406,0.23018083216166718,0.2437911415202998,0.25363399707391526,0.26365062587188864,0.2781689528716321,0.2515353544770077,0.2555068471372083,0.2590396894030735,0.2814182469027952,0.2974919266188762,0.28640448067239427,0.30393883789236237,0.38496040845458696,0.5028061859271906,0.4987396111539539,0.4758675545636242,0.49194892041657284,0.49974863714155976,0.5169398342979515,0.5520940339379219,0.5448896194886007,0.5634256167614724,0.6071660673691491,0.6271721651423703,0.6318517548464395,0.5702135849102763,0.51906939695828,0.577673463145285,0.6118586844512177,0.6328942876877858,0.6788421967239906,0.6587274713621379,0.6681750795103086
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1115084781348236,0.13179232644820726,0.25182734944118346,0.26349321902856104,0.544966482136693,0.631275354921612,0.6732631432169109,0.6879556687824443,0.6623588006341079,0.6554850814274619,0.6411266453193611,0.6423201944147439,0.6244085360460173,0.5944644616830714,0.5898876554497673,0.5842114816347295,0.5993188571469579,0.556558642494961,0.5775298199125328,0.560494665362798,0.5929381078083931,0.5999543173210435,0.6432605467856773,0.6259645518375312,0.6206975797669682,0.604580505622281,0.5755737039750992,0.5776419999125273,0.6508503130470302,0.5972690883769423,0.6128588297139279,0.6230197591406813,0.6893304322754251,0.6140742200886335,0.6626316718511277,0.6751772125628323,0.6906367670884533,0.7149291129832361,0.7067640925762548,0.6945272900976486,0.6869164571278752,0.6827501901860401,0.730008824929272,0.7437144618910941,0.7379218740920604,0.7725652620757301
