Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,0.08939753150905967,0.1073970938284725,0.1016906643927515,0.1092419525486499,0.1207410887291849,0.132332035245204,0.1430382456383079,0.160732255771973,0.1917024388639897,0.2120721593732357,0.2533308540580198,0.2955675972212106,0.324765378303796,0.408101304008238,0.5347447670880259,0.6377146132497042,0.7746702598870249,0.8932036086552143,0.9754799861846268,0.936706300146699,0.9442676865882873,0.9989659835379571,1.026605151322335,1.099518584666096,1.069445768135011,1.133905428034656,1.123542300067872,1.15281680049102,1.072781938304827,1.086915973938331,1.127321406989932,1.115729035386376,1.072295109116711,1.110056378276423,1.121163025066346,1.079804308789645,1.118926664499567,1.159021888513108,1.212919618906763,1.259200078039732,1.318577520680207,1.365192165361703,1.438703178464555,1.524804970744595,1.61589361761899,1.580381610144072,1.672157789232904,1.827618719675123,1.933116544953079,2.108207796818201,2.223065218811892,2.22118502225183,2.245660803353507,2.410631230326518,2.49965598788289,2.336035823471251,2.531046736822506,2.46553111398695
Argentina,1.182699451534951,1.221029143014772,1.256516110563715,1.299039982843966,1.342478437910457,1.272551488782843,1.34907008816004,1.366012556095463,1.427247941428454,1.484200350395292,1.449256345349513,1.521770234448808,1.589250066259112,1.591657307240916,1.708761473360638,1.699269194861415,1.648668600047745,1.679445989290537,1.74874902530228,1.754438592089918,1.733828325657568,1.831984651756987,1.914613870000592,1.946656428805192,1.877187053882533,1.846878100330652,1.876849757153763,2.013513742814848,2.080233329727204,2.191540281881876,2.261651274943629,2.365662487193656,2.393118501091534,2.478330486583433,2.505837873757487,2.515597317634291,2.457087370677555,2.356104504863662,2.525420273197758,2.68134237604624,2.845826707624734,2.989953604149103,3.116323739534152,3.157841022013164,3.069038966932753,3.182289378228846,3.272727728730471,3.397343361057716,3.533033350814049,3.527487747959253,3.588984192132172,3.57272710328534,3.569029639719111,3.54364422087548,3.338490065296347,3.131384057375795,3.476418391832212,3.603503860292122
Australia,1.532736112126098,1.605965501156877,1.703134949079956,1.806097511619107,1.880741748765344,2.05236579903899,2.155707452118206,2.253942072272085,2.409681342981123,2.562843856378646,2.606040677865224,2.696717485849986,2.829486635764729,2.920395135927587,3.028649130723538,3.039289061191188,3.088058044739586,3.059710073991194,2.955380983117437,3.068712086934427,3.159251649261346,3.221657984595762,3.316254506094476,3.468422483776897,3.643501650045886,3.719014110266644,3.691101066201439,3.751877733136834,3.830681830820108,3.979677940551479,4.155476301032613,4.277292702109682,4.382236922327154,4.486789944703682,4.670450472681767,4.698934276382222,4.73538707107401,4.830282436436892,4.899104243363636,5.055998844260502,5.077260750701205,5.295016473314414,5.422201300650163,5.514283643004272,5.434360403556292,5.431819073449782,5.610968457211442,5.530006712927098,5.600110236365869,5.639249267886898,5.765587684619166,5.784359231649402,5.767091987070025,5.851674159078405,6.048920311680979,5.713495372154524,5.733323135240981,5.980277667455198
Austria,0.6821938200495934,0.7139702530867564,0.7213085579437295,0.7712696418360573,0.7989353923357815,0.9149372487233474,0.9111029040750361,0.9425727577664839,1.013436471554725,1.0186637698671,1.011828883570448,1.047217325256926,1.049751700413517,1.09508338806985,1.15998182737307,1.155145702094819,1.121472423570372,1.084757897664314,1.08178263052377,1.07088702199827,1.136900124367717,1.139164598703033,1.202468494083721,1.184875102593222,1.191503673548278,1.206602850982159,1.265448067611793,1.245495210530207,1.26765001784128,1.259890004633276,1.321310772330358,1.323014279815222,1.350965178867238,1.372615821919364,1.40417528106546,1.40909639342899,1.45932191346449,1.461625031804483,1.476913490441878,1.504333316381665,1.531651471833022,1.515631769833294,1.48317145835671,1.51203360145218,1.464641832053684,1.512563611910529,1.425847522223676,1.492286998140205,1.480331931627248,1.421272935906684,1.421440170105554,1.468740699743141,1.501934779970919,1.469926759968043,1.544499620859046,1.4439669661352,1.453120338229881,1.373727410646038
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8458218122089901,0.9102038834826093,0.8820819867471356,0.8827355188991187,0.9001866524226172,0.9379844270065338,0.901264505751897,0.7718177465473028,0.6695287657225861,0.6151129028797256,0.5783327966505407,0.4742665527211976,0.4541567170605063,0.4559226164431496,0.454872279886878,0.4753988474958086,0.4580188943942803,0.4521910973948265,0.4897267245791621,0.554032547586317,0.6006145942587553,0.5907296296628277,0.5438560406428402,0.5486143376694743,0.4710847207186508,0.4641890256249447,0.5277492819352685,0.5442034650895775,0.5567481057492192,0.566233974114204,0.6192167812634244,0.6137607393769431,0.6023351611440135,0.6175786684793095,0.6463872673794214,0.659194104081922,0.7044558068924414,0.6990926175309269
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.04826476599630863,0.05468616855871827,0.0701289125412494,0.07468758449422419,0.0767919941934049,0.0896148417273581,0.09157755798301698,0.09728612891438604,0.1072616286637634,0.1251013729865134,0.1326228993936825,0.1463088460111706,0.1446846949286555,0.1563930818588151,0.1737867726810098,0.189131670937479,0.2087443697553484,0.2324749428649923,0.2506112921457787,0.2658830489177004,0.2565165959271121,0.2797579936512133,0.307568716209931,0.3264842669328865,0.3855910481224022,0.4039288689035757,0.4244069227380455,0.4520130604579335,0.4571473259491007,0.4900349931418443,0.5601059682328731,0.5616835486143769,0.5936972086433687,0.6302832040026582,0.682730505949575,0.7387532708086166,0.7566026328218056,0.8002420267095969,0.8772334919527086,0.9006377438720776,0.9768251856495906,1.061187275749846,1.104120539996006,1.145771989441055,1.386815430910181,1.389585957179169,1.452717935130247,1.549776032132293,1.737712400685982,1.645459978811267,1.726109778905917,1.794610474172326
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.468957363446326,1.677018054968852,1.701429670927353,1.72585787704965,1.6691783689714,1.677501005235492,1.673662346653968,1.451360526287846,1.21360386738365,1.014528711921138,0.9025419213511596,0.9256974587881198,0.9363638525802093,0.9156626854106206,0.8906999233985609,0.9182169667837221,0.8926563567238908,0.9234942026742643,0.9165110700394001,1.026290312394665,1.022941135554124,1.087727379966937,1.061186014624216,1.075175838847579,1.017225158851554,1.102494104421546,1.082638386420787,1.171071038331609,1.061361167518645,1.061798277849078,0.9613088555875822,0.9822309244909718,1.000327609471791,1.106109691620073,1.111775085684795,1.032417855580528,1.100330419451683,1.068656029577377
Belgium,1.486588339429632,1.432292309534461,1.503557538856692,1.675501190529814,1.838789418167778,1.942527749017245,1.905603702626726,2.025838322470616,2.053173443311474,1.982817342332903,1.864869241618744,1.978485567048428,1.982168744586152,2.068971423813251,2.128762508101383,2.037982869429404,1.937869824209991,1.853568004953481,1.796289488629323,1.877316558567493,1.959725743067329,2.022205894642144,2.083246647062102,2.124734311452469,2.140453692629042,2.236869482555083,2.314367208142746,2.309433532807499,2.27225848433252,2.390068979452407,2.419631385259557,2.569973269388091,2.596542846711954,2.647391271876508,2.628507548294762,2.676054435952866,2.652691515714085,2.640508101827392,2.742087676361931,2.752631867493346,2.722024206786549,2.729668032909491,2.74848851039564,2.792642433547241,2.577056988519023,2.752996664451674,2.568931698814906,2.465725204036906,2.526948419160127,2.343138386046916,2.366793737913327,2.554194600610648,2.577786775077447,2.5711889917449122,2.658344622722489,2.390516984484802,2.658219121038649,2.450366100731859
Brazil,0.9859306512542803,1.075608498058341,1.114484731755488,1.272549694864105,1.38892317578274,1.63211010817451,1.818817421904965,2.077137734298403,2.446639522618928,2.726617376578179,2.877556513894074,3.150570190233469,3.360115692828328,3.716165537471727,4.055236961672511,4.151239220910899,4.068137310307037,4.277384801917886,4.326432537759151,4.606914321295401,4.937950907002969,5.2086621646369204,5.353017670166325,5.518311092454622,5.674623843801954,5.637570181476972,5.819739629408967,5.90150079545664,6.17473153352364,6.475883802185749,6.88605387407816,7.291255366403721,7.751710479096304,8.0248995699393,8.116624135201793,8.48435121627653,8.272200570280937,8.460467687644435,8.620636122003706,9.039802924585317,9.275024902795531,9.530622342834018,10.14436661318883,10.58123918123217,10.50691820579684,11.46613231795887,11.86484309890782,12.21235438523995,12.50618272288823,12.83190631741912,12.661045094629,12.35579542418728,12.4667757334202,12.51348605389323,12.71862253631625,12.21972549043554,12.85441077356031,13.40953085820814
Bulgaria,0.43173234437078,0.4628355297294712,0.5376262772596312,0.6009753733625793,0.6698437277181005,0.753690490925746,0.7847892028132916,0.8075457661949873,0.8390649382778406,0.8641100242033124,0.9551260467265844,1.011613877019835,1.066055593143272,1.103839677389526,1.145713443090868,1.209571069532061,1.191723645188856,1.220852774922419,1.229139558101606,1.222015530349732,1.212763148967075,1.237083867067385,1.246660842995334,1.275726718558145,1.264636928061795,1.170509406754851,0.9471937667657853,0.891230775906682,0.9506145642015458,0.9145747321530819,0.9830645720309497,0.9791927509762526,0.9259479482621908,0.8904459119335651,0.7823470468736649,0.7830050416512013,0.8093519005167962,0.785037761640358,0.8116242137814045,0.7847969456966051,0.8503201797492065,0.8667793305738128,0.8379536384464908,0.8291279782400196,0.7279724243584675,0.7615473233892263,0.8090385905175701,0.7691703815076858,0.7131898636286348,0.76158124595187,0.8088495208779186,0.7672225983676344,0.7854281462329566,0.7877439764508486,0.7615731005990654,0.7033474197122842,0.7986234640493318,0.8343966549982696
