Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Germany,0.117,0.265,1.225,1.766,4.937,6.494,6.216,9.522,12.106,14.459,24.138,29.533,41.255,43.873,52.064,55.589,65.533,74.426,78.063,104.317,138.641,130.489,141.725,156.82,161.671,152.5,147.4,158.8,153.5,151.2,154.1,161.613,170.328,161.6,170.004,169.606,171.305,164.842,165.06,167.065,163.039,167.356,140.534,148.777,134.932,140.556,107.971227,99.46,97.29,97.129,91.786311,84.63436709999999,76.32440109999999,76.004802,75.071236,64.382397,69.13,34.7
Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.473,3.766,6.48,7.424,10.986,13.445,13.891,13.731,13.726,13.964,13.796,14.049,14.026,14.18,13.968,13.949,14.096,14.18,14.126,13.953,11.013,11.915,13.834,13.461,14.677,14.818,15.426,15.761,15.685026,15.793014,15.369604,15.648624,15.834396,16.053915,16.097596,15.733,16.288,16.055,15.99,15.812427
India,0.0,0.0,0.0,0.0,0.7247816,1.3081424,0.9722680000000001,0.9236546000000001,1.9533748,1.7986958,2.143409,2.6560594,1.8517286,2.2627328,2.346701400000001,2.4483476,2.466025200000001,2.1566672,3.0759024,4.039331600000001,4.507788000000001,5.0204384,5.320957600000001,6.076675000000002,4.021654000000001,6.3948718,5.413765000000001,6.403710600000001,6.226934600000001,4.945308600000001,7.614626200000001,8.401279400000002,10.0718126,11.3711162,12.727872,15.7684192,18.8885156,19.3525526,18.141637,21.256,17.727,17.63176,17.83178,15.23073,16.81618,23.08211,32.22365,33.13971,33.30824,34.68574,38.30752,37.89756,37.41445,39.0507,45.16288999999999,44.61314,43.91795,46.19467999999999
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1070819672131147,1.451704918032787,4.255377049180328,4.069508196721311,3.495344262295081,6.474284153005465,6.95760655737705,6.885377049180327,6.41063387978142,6.330295081967213,3.536579234972677,6.566142076502732
Italy,3.51,3.863,3.152,2.576,1.679,3.176,3.365,3.626,3.142,3.41,3.8,3.807,3.385,4.428,2.628,2.208,2.707,6.804,5.783,6.887,7.024,8.758000000000001,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.025,0.584,0.629,1.044,1.082,4.581,8.01,9.48,9.707,19.699,25.125,34.079,31.659,59.313,70.393,82.59100000000001,87.82000000000001,102.43,114.291,134.264,159.578,165.369719,188.604998,173.896933,185.814196,194.571275,208.693522,217.03513,247.699915,258.247986,286.888266,296.501164,321.156937,325.973855,317.234929,319.121574,320.538024,314.25837,230.077674,285.865562,293.038184,304.290569,279.00864,251.744159,274.650523,292.354831,162.927285,17.991406,14.602901,0.0,4.524406,17.678366,29.0734253,49.10626420000001,65.6361421,42.999509207,61.222637441,51.774
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016462,0.0,0.5391668000000001,0.464037,0.4463594000000001,0.3800684000000001,0.0795492,0.08838800000000001,0.3005192,0.08838800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.479613,9.881778400000002,9.183513200000002,12.8118406,16.6522992,17.033,17.0,14.638,12.26,7.706,11.822,13.942,12.024,13.554,9.862,8.419,11.362,14.142,15.484,15.1016,10.3376,8.651200000000001,9.8329,9.8937,10.8526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372,2.937,4.242,3.919,4.931,4.239,8.443,7.878,10.456,9.265,10.002,8.221,8.726,9.74662112,10.50150777,9.193935355999999,10.80490604,10.86624109,10.42072502,9.803976279999999,10.5010789,5.879240639,10.089195025,8.769598816,11.799869613,9.677208057000001,11.577137865,10.5671742514,10.8828617544,13.554877445,11.18983001,11.1779347,11.9230924,10.8496171
Netherlands,0.0,0.0,0.0,0.028,0.315,0.368,0.405,0.326,1.108,3.277,3.335,3.872,3.71,4.06,3.489,4.2,3.658,3.897,3.589,3.711,3.899,4.216,3.556,3.675,4.019,3.502,3.329,3.8,3.948,3.967,4.018,4.16,2.408,3.809091,3.828213,3.919208,3.972571,3.91354,4.017989,3.822018,3.997456,3.469439,4.200313,4.168889,4.248333,3.969167,4.140775,3.91471,2.890859,4.091306,4.078041000000001,3.960278,3.402478,3.51477,3.909748,4.087363,3.827956,4.158061658374793
